iter	Passed	Remaining
186	1598	6949
187	1606	6940
188	1615	6930
189	1623	6920
190	1631	6912
191	1640	6902
192	1648	6894
193	1658	6890
194	1667	6885
195	1676	6875
196	1684	6865
197	1692	6854
198	1700	6843
199	1708	6832
200	1717	6826
201	1726	6819
202	1734	6809
203	1742	6799
204	1751	6791
205	1759	6781
206	1767	6772
207	1776	6763
208	1784	6754
209	1794	6749
210	1804	6746
211	1813	6740
212	1822	6733
213	1831	6727
214	1840	6721
215	1849	6712
216	1858	6704
217	1866	6694
218	1874	6685
219	1882	6675
220	1890	6665
221	1899	6655
222	1907	6646
223	1915	6636
224	1924	6627
225	1932	6618
226	1940	6609
227	1949	6599
228	1957	6590
229	1965	6580
230	1973	6570
231	1982	6561
232	1990	6551
233	1998	6542
234	2006	6532
235	2015	6524
236	2023	6515
237	2032	6507
238	2040	6498
239	2049	6489
240	2056	6478
241	2065	6469
242	2074	6462
243	2082	6452
244	2090	6442
245	2099	6436
246	2108	6427
247	2117	6420
248	2125	6410
249	2134	6402
250	2142	6392
251	2150	6383
252	2158	6373
253	2167	6365
254	2175	6355
255	2183	6346
256	2192	6339
257	2200	6329
258	2209	6321
259	2217	6311
260	2225	6302
261	2234	6293
262	2242	6285
263	2251	6275
264	2259	6266
265	2267	6257
266	2276	6248
267	2284	6238
268	2292	6228
269	2300	6220
270	2308	6210
271	2316	6201
272	2325	6193
273	2334	6184
274	2342	6175
275	2350	6165
276	2358	6155
277	2366	6145
278	2374	6136
279	2382	6127
280	2391	6118
281	2399	6108
282	2408	6100
283	2416	6091
284	2424	6082
285	2432	6073
286	2442	6067
287	2450	6058
288	2459	6049
289	2466	6039
290	2474	6029
291	2482	6020
292	2491	6010
293	2499	6002
294	2507	5992
295	2517	5986
296	2524	5976
297	2534	5969
298	2542	5961
299	2552	5954
300	2560	5946
301	2569	5937
302	2577	5928
303	2585	5919
304	2593	5910
305	2601	5900
306	2609	5891
307	2617	5881
308	2625	5872
309	2634	5863
310	2642	5853
311	2650	5845
312	2658	5835
313	2667	5827
314	2676	5820
315	2687	5817
316	2699	5817
317	2710	5813
318	2720	5808
319	2729	5800
320	2739	5794
321	2750	5790
322	2761	5788
323	2774	5787
324	2782	5778
325	2790	5768
326	2797	5758
327	2805	5746
328	2812	5736
329	2819	5724
330	2827	5714
331	2833	5700
332	2841	5690
333	2849	5680
334	2857	5672
335	2865	5662
336	2873	5652
337	2881	5642
338	2890	5635
339	2899	5628
340	2909	5622
341	2919	5617
342	2928	5608
343	2937	5602
344	2947	5595
345	2957	5590
346	2967	5583
347	2976	5576
348	2986	5570
349	2996	5565
350	3006	5558
351	3015	5551
352	3026	5547
353	3036	5541
354	3046	5534
355	3056	5528
356	3066	5523
357	3076	5517
358	3086	5510
359	3095	5502
360	3105	5496
361	3114	5489
362	3124	5483
363	3135	5477
364	3144	5469
365	3153	5462
366	3162	5454
367	3172	5448
368	3182	5441
369	3191	5433
370	3201	5427
371	3211	5421
372	3222	5417
373	3232	5411
374	3242	5404
375	3252	5397
376	3262	5390
377	3272	5384
378	3281	5376
379	3290	5368
380	3300	5362
381	3310	5355
382	3319	5348
383	3328	5340
384	3338	5333
385	3349	5327
386	3359	5321
387	3369	5314
388	3378	5307
389	3388	5299
390	3398	5293
391	3409	5287
392	3418	5280
393	3428	5273
394	3438	5267
395	3448	5259
396	3458	5253
397	3468	5246
398	3479	5241
399	3489	5233
400	3499	5227
401	3509	5220
402	3520	5215
403	3531	5209
404	3543	5205
405	3553	5199
406	3565	5194
407	3575	5187
408	3586	5182
409	3596	5175
410	3607	5169
411	3618	5164
412	3629	5158
413	3639	5150
414	3649	5144
415	3659	5137
416	3669	5130
417	3679	5122
418	3689	5115
419	3699	5109
420	3709	5101
421	3719	5093
422	3727	5084
423	3738	5079
424	3751	5075
425	3761	5068
426	3772	5062
427	3782	5054
428	3792	5047
429	3802	5041
430	3812	5033
431	3821	5024
432	3831	5017
433	3842	5010
434	3852	5003
435	3864	4999
436	3874	4991
437	3883	4982
438	3892	4974
439	3901	4965
440	3911	4958
441	3921	4951
442	3932	4944
443	3943	4937
444	3953	4931
445	3963	4922
446	3973	4915
447	3982	4907
448	3991	4898
449	4001	4890
450	4011	4882
451	4020	4874
452	4029	4866
453	4038	4857
454	4050	4851
455	4060	4844
456	4070	4836
457	4081	4829
458	4091	4822
459	4101	4815
460	4112	4808
461	4123	4801
462	4132	4793
463	4141	4784
464	4151	4776
465	4160	4768
466	4170	4759
467	4180	4752
468	4190	4744
469	4201	4737
470	4211	4730
471	4221	4722
472	4231	4714
473	4241	4706
474	4251	4699
475	4260	4690
476	4270	4682
477	4280	4674
478	4290	4666
479	4300	4658
480	4309	4649
481	4318	4641
482	4327	4632
483	4337	4624
484	4346	4615
485	4354	4605
486	4363	4596
487	4373	4588
488	4383	4581
489	4393	4573
490	4403	4565
491	4414	4557
492	4423	4549
493	4434	4542
494	4444	4534
495	4454	4526
496	4465	4519
497	4475	4511
498	4484	4502
499	4494	4494
500	4502	4484
501	4513	4477
502	4522	4468
503	4532	4460
504	4543	4453
505	4553	4445
506	4562	4436
507	4572	4428
508	4582	4420
509	4593	4413
510	4603	4404
511	4612	4396
512	4622	4388
513	4632	4380
514	4642	4371
515	4652	4364
516	4662	4355
517	4671	4347
518	4681	4339
519	4691	4330
520	4702	4323
521	4713	4315
522	4727	4311
523	4736	4302
524	4746	4294
525	4754	4284
526	4762	4274
527	4771	4265
528	4780	4256
529	4789	4247
530	4799	4239
531	4809	4230
532	4819	4222
533	4829	4214
534	4839	4205
535	4847	4196
536	4856	4187
537	4866	4179
538	4875	4170
539	4895	4170
540	4906	4162
541	4929	4165
542	4938	4156
543	4947	4147
544	4955	4137
545	4965	4128
546	4973	4119
547	4982	4109
548	4990	4099
549	4998	4090
550	5006	4079
551	5013	4069
552	5020	4057
553	5027	4047
554	5034	4036
555	5043	4027
556	5050	4017
557	5058	4007
558	5065	3996
559	5073	3986
560	5080	3975
561	5088	3965
562	5095	3955
563	5103	3945
564	5110	3934
565	5116	3923
566	5122	3911
567	5129	3901
568	5136	3890
569	5143	3880
570	5150	3869
571	5157	3859
572	5164	3848
573	5172	3838
574	5179	3828
575	5186	3818
576	5195	3808
577	5202	3798
578	5209	3787
579	5216	3777
580	5223	3767
581	5230	3756
582	5238	3746
583	5245	3736
584	5253	3726
585	5260	3716
586	5266	3705
587	5272	3694
588	5279	3683
589	5286	3673
590	5293	3663
591	5301	3653
592	5309	3644
593	5318	3635
594	5327	3626
595	5336	3617
596	5345	3608
597	5353	3598
598	5364	3591
599	5373	3582
600	5382	3573
601	5391	3564
602	5401	3555
603	5410	3547
604	5420	3538
605	5430	3530
606	5440	3522
607	5451	3514
608	5461	3506
609	5470	3497
610	5479	3488
611	5488	3479
612	5497	3470
613	5507	3462
614	5517	3453
615	5526	3445
616	5536	3436
617	5546	3428
618	5555	3419
619	5564	3410
620	5573	3401
621	5582	3392
622	5590	3383
623	5599	3374
624	5609	3365
625	5619	3357
626	5630	3349
627	5640	3340
628	5649	3332
629	5659	3323
630	5669	3315
631	5681	3308
632	5692	3300
633	5701	3291
634	5710	3282
635	5720	3274
636	5728	3264
637	5738	3256
638	5747	3247
639	5757	3238
640	5766	3229
641	5776	3221
642	5784	3211
643	5793	3202
644	5803	3194
645	5812	3185
646	5821	3176
647	5830	3166
648	5839	3158
649	5849	3149
650	5862	3142
651	5872	3134
652	5882	3125
653	5891	3116
654	5899	3107
655	5908	3098
656	5918	3090
657	5927	3081
658	5936	3071
659	5945	3062
660	5955	3054
661	5964	3045
662	5974	3036
663	5983	3027
664	5993	3019
665	6004	3011
666	6014	3002
667	6026	2995
668	6036	2986
669	6046	2977
670	6055	2969
671	6064	2960
672	6074	2951
673	6085	2943
674	6094	2934
675	6105	2926
676	6116	2918
677	6125	2909
678	6135	2900
679	6147	2892
680	6157	2884
681	6166	2875
682	6173	2865
683	6179	2855
684	6186	2844
685	6193	2834
686	6200	2825
687	6207	2815
688	6214	2805
689	6221	2795
690	6228	2785
691	6236	2775
692	6244	2766
693	6252	2756
694	6260	2747
695	6269	2738
696	6278	2729
697	6288	2720
698	6297	2711
699	6306	2702
700	6315	2693
701	6326	2685
702	6336	2676
703	6346	2668
704	6356	2659
705	6367	2651
706	6377	2643
707	6388	2634
708	6397	2625
709	6407	2617
710	6416	2608
711	6426	2599
712	6436	2590
713	6446	2582
714	6456	2573
715	6466	2564
716	6477	2556
717	6488	2548
718	6499	2540
719	6511	2532
720	6521	2523
721	6531	2514
722	6541	2506
723	6550	2497
724	6559	2487
725	6569	2479
726	6579	2470
727	6589	2461
728	6598	2453
729	6608	2444
730	6620	2436
731	6631	2427
732	6640	2418
733	6651	2410
734	6664	2402
735	6674	2393
736	6683	2384
737	6691	2375
738	6699	2366
739	6707	2356
740	6714	2346
741	6722	2337
742	6729	2327
743	6738	2318
744	6746	2309
745	6754	2299
746	6763	2290
747	6773	2281
748	6782	2273
749	6792	2264
750	6802	2255
751	6810	2246
752	6819	2236
753	6828	2228
754	6838	2218
755	6847	2210
756	6857	2201
757	6865	2192
758	6875	2183
759	6885	2174
760	6895	2165
761	6907	2157
762	6915	2148
763	6925	2139
764	6937	2131
765	6947	2122
766	6956	2113
767	6966	2104
768	6976	2095
769	6987	2087
770	6997	2078
771	7006	2069
772	7015	2060
773	7024	2050
774	7034	2042
775	7043	2033
776	7054	2024
777	7065	2016
778	7075	2007
779	7085	1998
780	7095	1989
781	7104	1980
782	7114	1971
783	7125	1963
784	7135	1954
785	7144	1945
786	7154	1936
787	7165	1927
788	7175	1918
789	7185	1910
790	7197	1901
791	7213	1894
792	7223	1885
793	7232	1876
794	7241	1867
795	7250	1858
796	7259	1848
797	7268	1840
798	7278	1831
799	7287	1821
800	7297	1813
801	7307	1804
802	7317	1795
803	7325	1785
804	7335	1776
805	7346	1768
806	7356	1759
807	7366	1750
808	7375	1741
809	7386	1732
810	7395	1723
811	7404	1714
812	7415	1705
813	7425	1696
814	7435	1687
815	7446	1679
816	7459	1670
817	7469	1662
818	7478	1652
819	7486	1643
820	7493	1633
821	7501	1624
822	7510	1615
823	7518	1605
824	7526	1596
825	7535	1587
826	7543	1578
827	7553	1569
828	7561	1559
829	7569	1550
830	7578	1541
831	7586	1531
832	7593	1522
833	7601	1513
834	7609	1503
835	7616	1494
836	7624	1484
837	7632	1475
838	7639	1466
839	7646	1456
840	7653	1447
841	7660	1437
842	7667	1428
843	7673	1418
844	7680	1408
845	7686	1399
846	7692	1389
847	7699	1380
848	7705	1370
849	7710	1360
850	7717	1351
851	7723	1341
852	7728	1331
853	7735	1322
854	7741	1312
855	7747	1303
856	7754	1293
857	7760	1284
858	7766	1274
859	7772	1265
860	7779	1255
861	7784	1246
862	7790	1236
863	7797	1227
864	7803	1217
865	7809	1208
866	7816	1199
867	7822	1189
868	7829	1180
869	7836	1170
870	7843	1161
871	7849	1152
872	7855	1142
873	7861	1133
874	7868	1124
875	7874	1114
876	7879	1105
877	7886	1095
878	7892	1086
879	7899	1077
880	7906	1067
881	7911	1058
882	7917	1049
883	7923	1039
884	7928	1030
885	7935	1021
886	7941	1011
887	7948	1002
888	7954	993
889	7960	983
890	7966	974
891	7972	965
892	7979	956
893	7985	946
894	7990	937
895	7997	928
896	8002	918
897	8009	909
898	8015	900
899	8022	891
900	8027	882
901	8033	872
902	8039	863
903	8045	854
904	8051	845
905	8058	836
906	8065	826
907	8071	817
908	8076	808
909	8082	799
910	8088	790
911	8095	781
912	8102	772
913	8108	762
914	8116	754
915	8124	745
916	8130	735
917	8138	727
918	8145	717
919	8151	708
920	8159	699
921	8166	690
922	8173	681
923	8180	672
924	8187	663
925	8195	654
926	8203	646
927	8211	637
928	8217	628
929	8224	619
930	8235	610
931	8241	601
932	8252	592
933	8264	583
934	8271	575
935	8283	566
936	8291	557
937	8298	548
938	8309	539
939	8317	530
940	8323	521
941	8330	512
942	8337	503
943	8346	495
944	8353	486
945	8358	477
946	8364	468
947	8370	459
948	8376	450
949	8381	441
950	8386	432
951	8392	423
952	8398	414
953	8404	405
954	8410	396
955	8417	387
956	8423	378
957	8430	369
958	8437	360
959	8443	351
960	8450	342
961	8457	334
962	8465	325
963	8473	316
964	8482	307
965	8491	298
966	8499	290
967	8509	281
968	8519	272
969	8529	263
970	8538	254
971	8547	246
972	8557	237
973	8568	228
974	8579	219
975	8588	211
976	8600	202
977	8611	193
978	8619	184
979	8629	176
980	8638	167
981	8647	158
982	8656	149
983	8665	140
984	8673	132
985	8684	123
986	8693	114
987	8702	105
988	8711	96
989	8720	88
990	8729	79
991	8739	70
992	8749	61
993	8758	52
994	8767	44
995	8776	35
996	8786	26
997	8796	17
998	8806	8
999	8815	0
